CHANNEL,MAXIMUM_REACH
TV ads,0.81
High Impact Linear,0.81
Internet ads,0.77
YouTube ads,0.73
AVOD ads,0.69
Facebook ads,0.69
Online video ads,0.68
Outdoor billboards and posters,0.67
In-store ads,0.65
Music streaming ads,0.64
Instagram ads,0.63
Outdoor video screen ads,0.62
Pinterest ads,0.56
TikTok ads,0.54
Snapchat ads,0.51
Internet search,0.37
Search on retailer's website,0.36
Emails - subscribed,0.35
In-store promotions,0.33
Promotions and coupons - online,0.33
Promotions on retailer website,0.33
Direct mail,0.32
Podcast ads,0.15
Affiliate / Ambassador,0.08
Reviews / recommendations - influencers,0.07
