reach_threshold,budget,channel,channel_mix,effect_score
1plus,0,tv_ads,0.0,0.0
1plus,1000000,tv_ads,0.664934367,0.329416039
1plus,2000000,tv_ads,0.801012917,0.457616747
1plus,3000000,tv_ads,0.86055166,0.538507344
1plus,4000000,tv_ads,0.893626684,0.594269997
1plus,5000000,tv_ads,0.914467183,0.634518258
1plus,6000000,tv_ads,0.928664165,0.66444193
1plus,7000000,tv_ads,0.938895492,0.687175478
1plus,8000000,tv_ads,0.946619959,0.704818644
1plus,9000000,tv_ads,0.952636584,0.718744459
1plus,10000000,tv_ads,0.957445797,0.729905011
1plus,11000000,tv_ads,0.961368506,0.73897337
1plus,12000000,tv_ads,0.964620932,0.74643505
1plus,13000000,tv_ads,0.967356232,0.752647901
1plus,14000000,tv_ads,0.96968493,0.757878985
1plus,15000000,tv_ads,0.971688572,0.762329809
1plus,16000000,tv_ads,0.973429105,0.766153944
1plus,17000000,tv_ads,0.974952916,0.769469527
1plus,18000000,tv_ads,0.976296692,0.772368258
1plus,19000000,tv_ads,0.977489447,0.774921934
1plus,20000000,tv_ads,0.97855409,0.777187252
1plus,0,avod_ads,0.0,0.0
1plus,1000000,avod_ads,0.664934367,0.470699317
1plus,2000000,avod_ads,0.801012917,0.565473681
1plus,3000000,avod_ads,0.86055166,0.606663863
1plus,4000000,avod_ads,0.893626684,0.62899469
1plus,5000000,avod_ads,0.914467183,0.642745064
1plus,6000000,avod_ads,0.928664165,0.652046656
1plus,7000000,avod_ads,0.938895492,0.658753541
1plus,8000000,avod_ads,0.946619959,0.663794247
1plus,9000000,avod_ads,0.952636584,0.667700097
1plus,10000000,avod_ads,0.957445797,0.670796919
1plus,11000000,avod_ads,0.961368506,0.673295634
1plus,12000000,avod_ads,0.964620932,0.675338895
1plus,13000000,avod_ads,0.967356232,0.677026959
1plus,14000000,avod_ads,0.96968493,0.678441606
1plus,15000000,avod_ads,0.971688572,0.679641244
1plus,16000000,avod_ads,0.973429105,0.680666273
1plus,17000000,avod_ads,0.974952916,0.681547888
1plus,18000000,avod_ads,0.976296692,0.682310567
1plus,19000000,avod_ads,0.977489447,0.682973793
1plus,20000000,avod_ads,0.97855409,0.683553266
1plus,0,outdoor_billboards_and_posters,0.0,0.0
1plus,1000000,outdoor_billboards_and_posters,0.664934367,0.222094426
1plus,2000000,outdoor_billboards_and_posters,0.801012917,0.315260306
1plus,3000000,outdoor_billboards_and_posters,0.86055166,0.372971493
1plus,4000000,outdoor_billboards_and_posters,0.893626684,0.413809256
1plus,5000000,outdoor_billboards_and_posters,0.914467183,0.444510177
1plus,6000000,outdoor_billboards_and_posters,0.928664165,0.468584609
1plus,7000000,outdoor_billboards_and_posters,0.938895492,0.488424921
1plus,8000000,outdoor_billboards_and_posters,0.946619959,0.505224277
1plus,9000000,outdoor_billboards_and_posters,0.952636584,0.519692601
1plus,10000000,outdoor_billboards_and_posters,0.957445797,0.532313502
1plus,11000000,outdoor_billboards_and_posters,0.961368506,0.543431924
1plus,12000000,outdoor_billboards_and_posters,0.964620932,0.553303456
1plus,13000000,outdoor_billboards_and_posters,0.967356232,0.56212358
1plus,14000000,outdoor_billboards_and_posters,0.96968493,0.570045803
1plus,15000000,outdoor_billboards_and_posters,0.971688572,0.577193357
1plus,16000000,outdoor_billboards_and_posters,0.973429105,0.583666996
1plus,17000000,outdoor_billboards_and_posters,0.974952916,0.589550361
1plus,18000000,outdoor_billboards_and_posters,0.976296692,0.594913756
1plus,19000000,outdoor_billboards_and_posters,0.977489447,0.599816899
1plus,20000000,outdoor_billboards_and_posters,0.97855409,0.604310943
1plus,0,outdoor_video_screen_ads,0.0,0.0
1plus,1000000,outdoor_video_screen_ads,0.664934367,0.198748273
1plus,2000000,outdoor_video_screen_ads,0.801012917,0.279669803
1plus,3000000,outdoor_video_screen_ads,0.86055166,0.331839346
1plus,4000000,outdoor_video_screen_ads,0.893626684,0.369747856
1plus,5000000,outdoor_video_screen_ads,0.914467183,0.399075766
1plus,6000000,outdoor_video_screen_ads,0.928664165,0.423199147
1plus,7000000,outdoor_video_screen_ads,0.938895492,0.443508352
1plus,8000000,outdoor_video_screen_ads,0.946619959,0.460873984
1plus,9000000,outdoor_video_screen_ads,0.952636584,0.4758904
1plus,10000000,outdoor_video_screen_ads,0.957445797,0.488986799
1plus,11000000,outdoor_video_screen_ads,0.961368506,0.500486602
1plus,12000000,outdoor_video_screen_ads,0.964620932,0.510641551
1plus,13000000,outdoor_video_screen_ads,0.967356232,0.519652475
1plus,14000000,outdoor_video_screen_ads,0.96968493,0.527682618
1plus,15000000,outdoor_video_screen_ads,0.971688572,0.534866575
1plus,16000000,outdoor_video_screen_ads,0.973429105,0.541316544
1plus,17000000,outdoor_video_screen_ads,0.974952916,0.547126857
1plus,18000000,outdoor_video_screen_ads,0.976296692,0.552377369
1plus,19000000,outdoor_video_screen_ads,0.977489447,0.557136062
1plus,20000000,outdoor_video_screen_ads,0.97855409,0.561461085
1plus,0,internet_ads,0.0,0.0
1plus,1000000,internet_ads,0.664934367,0.559483891
1plus,2000000,internet_ads,0.801012917,0.669062121
1plus,3000000,internet_ads,0.86055166,0.712530016
1plus,4000000,internet_ads,0.893626684,0.734045338
1plus,5000000,internet_ads,0.914467183,0.74608916
1plus,6000000,internet_ads,0.928664165,0.75340957
1plus,7000000,internet_ads,0.938895492,0.758127942
1plus,8000000,internet_ads,0.946619959,0.761307987
1plus,9000000,internet_ads,0.952636584,0.763528328
1plus,10000000,internet_ads,0.957445797,0.765123842
1plus,11000000,internet_ads,0.961368506,0.766298117
1plus,12000000,internet_ads,0.964620932,0.767180007
1plus,13000000,internet_ads,0.967356232,0.767853867
1plus,14000000,internet_ads,0.96968493,0.768376542
1plus,15000000,internet_ads,0.971688572,0.768787304
1plus,16000000,internet_ads,0.973429105,0.769113885
1plus,17000000,internet_ads,0.974952916,0.769376245
1plus,18000000,internet_ads,0.976296692,0.769588995
1plus,19000000,internet_ads,0.977489447,0.769762991
1plus,20000000,internet_ads,0.97855409,0.769906407
1plus,0,online_video_ads,0.0,0.0
1plus,1000000,online_video_ads,0.664934367,0.518378531
1plus,2000000,online_video_ads,0.801012917,0.592988523
1plus,3000000,online_video_ads,0.86055166,0.623393541
1plus,4000000,online_video_ads,0.893626684,0.639895031
1plus,5000000,online_video_ads,0.914467183,0.650179002
1plus,6000000,online_video_ads,0.928664165,0.657125731
1plus,7000000,online_video_ads,0.938895492,0.662098276
1plus,8000000,online_video_ads,0.946619959,0.665806911
1plus,9000000,online_video_ads,0.952636584,0.668650567
1plus,10000000,online_video_ads,0.957445797,0.670876944
1plus,11000000,online_video_ads,0.961368506,0.672648624
1plus,12000000,online_video_ads,0.964620932,0.674077113
1plus,13000000,online_video_ads,0.967356232,0.675241612
1plus,14000000,online_video_ads,0.96968493,0.67619997
1plus,15000000,online_video_ads,0.971688572,0.676995393
1plus,16000000,online_video_ads,0.973429105,0.677660731
1plus,17000000,online_video_ads,0.974952916,0.678221316
1plus,18000000,online_video_ads,0.976296692,0.678696915
1plus,19000000,online_video_ads,0.977489447,0.679103091
1plus,20000000,online_video_ads,0.97855409,0.679452202
1plus,0,internet_search,0.0,0.0
1plus,1000000,internet_search,0.664934367,0.340649794
1plus,2000000,internet_search,0.801012917,0.36285828
1plus,3000000,internet_search,0.86055166,0.368119693
1plus,4000000,internet_search,0.893626684,0.369891593
1plus,5000000,internet_search,0.914467183,0.370617809
1plus,6000000,internet_search,0.928664165,0.370955419
1plus,7000000,internet_search,0.938895492,0.371126633
1plus,8000000,internet_search,0.946619959,0.371219256
1plus,9000000,internet_search,0.952636584,0.371272
1plus,10000000,internet_search,0.957445797,0.371303336
1plus,11000000,internet_search,0.961368506,0.371322633
1plus,12000000,internet_search,0.964620932,0.371334882
1plus,13000000,internet_search,0.967356232,0.37134286
1plus,14000000,internet_search,0.96968493,0.371348169
1plus,15000000,internet_search,0.971688572,0.371351768
1plus,16000000,internet_search,0.973429105,0.371354246
1plus,17000000,internet_search,0.974952916,0.371355975
1plus,18000000,internet_search,0.976296692,0.371357195
1plus,19000000,internet_search,0.977489447,0.371358064
1plus,20000000,internet_search,0.97855409,0.371358689
1plus,0,youtube_ads,0.0,0.0
1plus,1000000,youtube_ads,0.664934367,0.590356984
1plus,2000000,youtube_ads,0.801012917,0.660776558
1plus,3000000,youtube_ads,0.86055166,0.686736405
1plus,4000000,youtube_ads,0.893626684,0.699907716
1plus,5000000,youtube_ads,0.914467183,0.707778371
1plus,6000000,youtube_ads,0.928664165,0.71292289
1plus,7000000,youtube_ads,0.938895492,0.716478369
