budget,objective,channel,effect_score
0,awareness,tv ads,0.0
700000,awareness,tv ads,0.028680003
1400000,awareness,tv ads,0.052880211
2100000,awareness,tv ads,0.074160166
2800000,awareness,tv ads,0.093098589
3500000,awareness,tv ads,0.110078696
4200000,awareness,tv ads,0.125341122
4900000,awareness,tv ads,0.139129525
5600000,awareness,tv ads,0.151693687
6300000,awareness,tv ads,0.163148218
7000000,awareness,tv ads,0.173622641
7700000,awareness,tv ads,0.183243983
8400000,awareness,tv ads,0.192162706
9100000,awareness,tv ads,0.200361259
9800000,awareness,tv ads,0.20795945
10500000,awareness,tv ads,0.215004353
11200000,awareness,tv ads,0.221557674
11900000,awareness,tv ads,0.227657877
12600000,awareness,tv ads,0.233351927
13300000,awareness,tv ads,0.238666674
14000000,awareness,tv ads,0.243637574
14700000,awareness,tv ads,0.248285281
15400000,awareness,tv ads,0.252645005
16100000,awareness,tv ads,0.256746455
16800000,awareness,tv ads,0.260580873
17500000,awareness,tv ads,0.26418472
0,awareness,internet ads,0.0
700000,awareness,internet ads,0.0265572
1400000,awareness,internet ads,0.049897761
2100000,awareness,internet ads,0.070100412
2800000,awareness,internet ads,0.087362875
3500000,awareness,internet ads,0.102038787
4200000,awareness,internet ads,0.11450703
4900000,awareness,internet ads,0.125133368
5600000,awareness,internet ads,0.134225806
6300000,awareness,internet ads,0.141978531
7000000,awareness,internet ads,0.148713373
7700000,awareness,internet ads,0.154578875
8400000,awareness,internet ads,0.159732289
9100000,awareness,internet ads,0.164283258
9800000,awareness,internet ads,0.168329635
10500000,awareness,internet ads,0.171940863
11200000,awareness,internet ads,0.17518261
11900000,awareness,internet ads,0.178092821
12600000,awareness,internet ads,0.18071334
13300000,awareness,internet ads,0.183081294
14000000,awareness,internet ads,0.185230178
14700000,awareness,internet ads,0.187184093
15400000,awareness,internet ads,0.188971894
16100000,awareness,internet ads,0.19060777
16800000,awareness,internet ads,0.192103151
17500000,awareness,internet ads,0.193473127
0,awareness,online video ads,0.0
700000,awareness,online video ads,0.061145759
1400000,awareness,online video ads,0.096441108
2100000,awareness,online video ads,0.118793799
2800000,awareness,online video ads,0.134230638
3500000,awareness,online video ads,0.145555056
4200000,awareness,online video ads,0.154210101
4900000,awareness,online video ads,0.161029166
5600000,awareness,online video ads,0.166530194
6300000,awareness,online video ads,0.171047107
7000000,awareness,online video ads,0.174815593
7700000,awareness,online video ads,0.178013871
8400000,awareness,online video ads,0.180759454
9100000,awareness,online video ads,0.183136092
9800000,awareness,online video ads,0.185216335
10500000,awareness,online video ads,0.187051582
11200000,awareness,online video ads,0.188687087
11900000,awareness,online video ads,0.1901448
12600000,awareness,online video ads,0.19145807
13300000,awareness,online video ads,0.192655561
14000000,awareness,online video ads,0.193736514
14700000,awareness,online video ads,0.194714373
15400000,awareness,online video ads,0.195614635
16100000,awareness,online video ads,0.196446234
16800000,awareness,online video ads,0.197213099
17500000,awareness,online video ads,0.197923338
0,awareness,internet search,0.0
700000,awareness,internet search,0.036642636
1400000,awareness,internet search,0.053505597
2100000,awareness,internet search,0.062194854
2800000,awareness,internet search,0.067191798
3500000,awareness,internet search,0.070313815
4200000,awareness,internet search,0.072365704
4900000,awareness,internet search,0.073780075
5600000,awareness,internet search,0.074767228
6300000,awareness,internet search,0.075480852
7000000,awareness,internet search,0.076005259
7700000,awareness,internet search,0.076400338
8400000,awareness,internet search,0.076701115
9100000,awareness,internet search,0.076935887
9800000,awareness,internet search,0.077124752
10500000,awareness,internet search,0.077272294
11200000,awareness,internet search,0.07738998
11900000,awareness,internet search,0.077482831
12600000,awareness,internet search,0.077558022
13300000,awareness,internet search,0.077620176
14000000,awareness,internet search,0.077671005
14700000,awareness,internet search,0.077714255
15400000,awareness,internet search,0.077751138
16100000,awareness,internet search,0.077782192
16800000,awareness,internet search,0.077808244
17500000,awareness,internet search,0.077830328
0,awareness,facebook ads,0.0
700000,awareness,facebook ads,0.028883159
1400000,awareness,facebook ads,0.053035266
2100000,awareness,facebook ads,0.072387429
2800000,awareness,facebook ads,0.087782612
3500000,awareness,facebook ads,0.100265194
4200000,awareness,facebook ads,0.110605293
4900000,awareness,facebook ads,0.119313261
5600000,awareness,facebook ads,0.126728941
6300000,awareness,facebook ads,0.133115429
7000000,awareness,facebook ads,0.138675837
7700000,awareness,facebook ads,0.143558629
8400000,awareness,facebook ads,0.147859566
9100000,awareness,facebook ads,0.151680669
9800000,awareness,facebook ads,0.155100377
10500000,awareness,facebook ads,0.158172646
11200000,awareness,facebook ads,0.160946986
11900000,awareness,facebook ads,0.163449632
12600000,awareness,facebook ads,0.165719576
13300000,awareness,facebook ads,0.167792237
14000000,awareness,facebook ads,0.169675501
14700000,awareness,facebook ads,0.171403649
15400000,awareness,facebook ads,0.172995484
16100000,awareness,facebook ads,0.174474971
16800000,awareness,facebook ads,0.175855536
17500000,awareness,facebook ads,0.177128307
0,awareness,youtube ads,0.0
700000,awareness,youtube ads,0.054664491
1400000,awareness,youtube ads,0.090148208
2100000,awareness,youtube ads,0.113483714
2800000,awareness,youtube ads,0.129837993
3500000,awareness,youtube ads,0.141964462
4200000,awareness,youtube ads,0.151282744
4900000,awareness,youtube ads,0.158648022
5600000,awareness,youtube ads,0.164598959
6300000,awareness,youtube ads,0.169502403
7000000,awareness,youtube ads,0.173593802
7700000,awareness,youtube ads,0.177054112
8400000,awareness,youtube ads,0.180009283
9100000,awareness,youtube ads,0.182554806
9800000,awareness,youtube ads,0.184767751
10500000,awareness,youtube ads,0.186721128
11200000,awareness,youtube ads,0.188443339
11900000,awareness,youtube ads,0.189972972
12600000,awareness,youtube ads,0.191345163
13300000,awareness,youtube ads,0.192577565
14000000,awareness,youtube ads,0.193687942
14700000,awareness,youtube ads,0.19469621
15400000,awareness,youtube ads,0.195621172
16100000,awareness,youtube ads,0.19646807
16800000,awareness,youtube ads,0.197251313
17500000,awareness,youtube ads,0.197972905
0,awareness,instagram ads,0.0
700000,awareness,instagram ads,0.029193772
1400000,awareness,instagram ads,0.052192647
2100000,awareness,instagram ads,0.070117955
2800000,awareness,instagram ads,0.084305433
3500000,awareness,instagram ads,0.09574692
4200000,awareness,instagram ads,0.105243911
4900000,awareness,instagram ads,0.113256417
5600000,awareness,instagram ads,0.120129495
6300000,awareness,instagram ads,0.126069004
7000000,awareness,instagram ads,0.131252007
7700000,awareness,instagram ads,0.13581863
8400000,awareness,instagram ads,0.139876974
9100000,awareness,instagram ads,0.143502704
9800000,awareness,instagram ads,0.1467688
10500000,awareness,instagram ads,0.149700992
11200000,awareness,instagram ads,0.152376191
11900000,awareness,instagram ads,0.154794786
12600000,awareness,instagram ads,0.157021901
13300000,awareness,instagram ads,0.159070526
14000000,awareness,instagram ads,0.160961258
14700000,awareness,instagram ads,0.162700418
15400000,awareness,instagram ads,0.164315315
16100000,awareness,instagram ads,0.165818311
16800000,awareness,instagram ads,0.167198836
17500000,awareness,instagram ads,0.168478623
0,awareness,snapchat ads,0.0
700000,awareness,snapchat ads,0.020647481
1400000,awareness,snapchat ads,0.03713302
2100000,awareness,snapchat ads,0.050124289
