advertiser,brand,media_group,media,media_owner,dow,national_local,market,program,program_genre,daypart,property,flight_date,spend_usd,units
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,2025-01-01,5718.0,3.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,2025-01-01,2288.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,2025-01-01,3500.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Early Fringe,A&E,2025-01-01,6862.0,4.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Early News,A&E,2025-01-01,2287.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Prime Access,A&E,2025-01-01,3500.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,2025-01-01,2024.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,2025-01-01,1225.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,FIRST 48,ENTERTAINMENT,Early Fringe,A&E,2025-01-01,3431.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,FIRST 48,ENTERTAINMENT,Prime Access,A&E,2025-01-01,1742.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,HOMICIDE SQUAD NEW ORLEA,ENTERTAINMENT,Early Fringe,A&E,2025-01-01,231.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,FIRST 48,ENTERTAINMENT,Early News,A&E,2025-01-01,3431.0,2.0
