advertiser,brand_root,brand_major,brand_minor,brand_leaf,publisher,date,channel,top_level_category,placement,spend_usd,impressions
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,87517.15,12110844
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Reels,36870.2,5102200
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Stories,872.51,120740
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,5926.15,331137
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,walmart.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,15019.29,2043414
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Hulu,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,105961.23,3832547
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,wunderground.com (The Weather Company),2025-01-01,Desktop Display,Consumer Packaged Goods,Other,157.86,134595
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,chicagotribune.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,2490.28,248408
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,nypost.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1052.28,90285
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,upi.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,18.14,1341
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,screenrant.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,371.09,80768
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,collider.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,259.33,17442
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,ktla.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1179.0,76261
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Reels,59975.47,7423785
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Stories,8950.28,1107863
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Feed,61091.86,7561958
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Twitch,2025-01-01,Desktop Video,Consumer Packaged Goods,In-Stream,3450.75,154362
