CHANNEL,CHANNEL_RANKING
TV ads,0.517010638
In-store ads,0.516236380
High Impact Linear,0.476235236
Instagram ads,0.434741302
Internet ads,0.429883705
Outdoor billboards and posters,0.417372735
Facebook ads,0.415331193
TikTok ads,0.409145451
AVOD ads,0.398371686
Promotions and coupons - online,0.397994975
Pinterest ads,0.395979797
Online video ads,0.395474399
YouTube ads,0.391535439
In-store promotions,0.389615195
Promotions on retailer website,0.381051178
Snapchat ads,0.377888873
Outdoor video screen ads,0.377624152
Music streaming ads,0.348711915
Search on retailer's website,0.328633535
Internet search,0.304138127
Emails - subscribed,0.271108834
Direct mail,0.252982213
Podcast ads,0.215638587
Affiliate / Ambassador,0.154919334
Reviews / recommendations - influencers,0.144913767
