CHANNEL,CHANNEL_RANKING
High Impact Linear,0.467653718
TV ads,0.450000000
In-store ads,0.411096096
Facebook ads,0.380657326
Internet ads,0.372290209
AVOD ads,0.371483512
Online video ads,0.368781778
Outdoor billboards and posters,0.356791255
Instagram ads,0.354964787
In-store promotions,0.344673759
TikTok ads,0.336749165
Pinterest ads,0.334664011
Outdoor video screen ads,0.334065862
YouTube ads,0.330907842
Promotions and coupons - online,0.319843712
Snapchat ads,0.319374388
Music streaming ads,0.309838668
Promotions on retailer website,0.309354166
Emails - subscribed,0.264575131
Search on retailer's website,0.254558441
Direct mail,0.240000000
Internet search,0.219317122
Podcast ads,0.173205081
Affiliate / Ambassador,0.129614814
Reviews / recommendations - influencers,0.121243557
