BUDGET,TV_ADS,AVOD_ADS,OUTDOOR_BILLBOARDS_AND_POSTERS,OUTDOOR_VIDEO_SCREEN_ADS,INTERNET_ADS,ONLINE_VIDEO_ADS,INTERNET_SEARCH,YOUTUBE_ADS,MUSIC_STREAMING_ADS,PODCAST_ADS,FACEBOOK_ADS,INSTAGRAM_ADS,SNAPCHAT_ADS,TIKTOK_ADS,PINTEREST_ADS,DIRECT_MAIL,Emails - subscribed,Search on retailer's website,In-store ads,PROMOTIONS_ON_RETAILER_WEBSITE,Affiliate / Ambassador,Reviews / recommendations - influencers,CHANNEL_MIX
0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1000000,0.329416039,0.470699317,0.222094426,0.198748273,0.559483891,0.518378531,0.340649794,0.590356984,0.408240992,0.148071643,0.536535623,0.431642901,0.337479374,0.409721822,0.280576654,0.317883488,0.322312888,0.338239769,0.187217932,0.242517643,0.077863193,0.072756127,0.664934367
2000000,0.457616747,0.565473681,0.315260306,0.279669803,0.669062121,0.592988523,0.362858280,0.660776558,0.501773328,0.148734253,0.611383715,0.512913456,0.404828111,0.468877417,0.362673307,0.317883488,0.345228155,0.351144229,0.279101957,0.285989666,0.077863193,0.074128747,0.801012917
3000000,0.538507344,0.606663863,0.372971493,0.331839346,0.712530016,0.623393541,0.368119693,0.686736405,0.545491954,0.148782830,0.639874723,0.548703430,0.435806069,0.492411337,0.407148681,0.317883488,0.349039858,0.353893665,0.340357171,0.304760837,0.077863193,0.074308637,0.860551660
4000000,0.594269997,0.628994690,0.413809256,0.369747856,0.734045338,0.639895031,0.369891593,0.699907716,0.570317339,0.148787727,0.654452202,0.569069397,0.454090727,0.504923754,0.436364370,0.317883488,0.349706544,0.354656373,0.384259063,0.314994589,0.077863193,0.074359933,0.893626684
5000000,0.634518258,0.642745064,0.444510177,0.399075766,0.746089160,0.650179002,0.370617809,0.707778371,0.586215657,0.148788301,0.663229668,0.582201195,0.466240514,0.512624002,0.457036198,0.317883488,0.349968279,0.354917714,0.418192383,0.321168021,0.077863193,0.074379719,0.914467183
6000000,0.664441930,0.652046656,0.468584609,0.423199147,0.753409570,0.657125731,0.370955419,0.712922890,0.597190331,0.148788371,0.669008577,0.591334293,0.474883579,0.517791305,0.472832952,0.317883488,0.350113893,0.355026348,0.445608962,0.325080788,0.077863193,0.074388123,0.928664165
7000000,0.687175478,0.658753541,0.488424921,0.443508352,0.758127942,0.662098276,0.371126633,0.716478369,0.605169914,0.148788380,0.673029484,0.598008074,0.481310899,0.521463528,0.485333998,0.317883488,0.350180231,0.355079061,0.468431575,0.327633870,0.077863193,0.074391865,0.938895492
8000000,0.704818644,0.663794247,0.505224277,0.460873984,0.761307987,0.665806911,0.371219256,0.719025866,0.611198568,0.148788381,0.675930940,0.603057189,0.486239244,0.524186361,0.495432625,0.317883488,0.350210262,0.355107482,0.487720860,0.329335034,0.077863193,0.074393590,0.946619959
9000000,0.718744459,0.667700097,0.519692601,0.475890400,0.763528328,0.668650567,0.371272000,0.720905835,0.615886673,0.148788382,0.678077692,0.606981093,0.490119154,0.526262720,0.503718404,0.317883488,0.350223969,0.355123794,0.504215974,0.330488976,0.077863193,0.074394407,0.952636584
