BUDGET,Awareness - TV ads,Awareness - Internet ads,Awareness - Online video ads,Awareness - Internet search,Awareness - Facebook ads,Awareness - YouTube ads,Awareness - Instagram ads,Awareness - Snapchat ads,Awareness - TikTok ads,Awareness - Pinterest ads,Awareness - Music streaming ads,Awareness - Podcast ads,Consideration - TV ads,Consideration - Internet ads,Consideration - Online video ads,Consideration - Internet search,Consideration - Facebook ads,Consideration - YouTube ads,Consideration - Instagram ads,Consideration - Snapchat ads,Consideration - TikTok ads,Consideration - Pinterest ads,Consideration - Music streaming ads,Consideration - Podcast ads,Trial - TV ads,Trial - Internet ads,Trial - Online video ads,Trial - Internet search,Trial - Facebook ads,Trial - YouTube ads,Trial - Instagram ads,Trial - Snapchat ads,Trial - TikTok ads,Trial - Pinterest ads,Trial - Music streaming ads,Trial - Podcast ads,Re-purchase - TV ads,Re-purchase - Internet ads,Re-purchase - Online video ads,Re-purchase - Internet search,Re-purchase - Facebook ads,Re-purchase - YouTube ads,Re-purchase - Instagram ads,Re-purchase - Snapchat ads,Re-purchase - TikTok ads,Re-purchase - Pinterest ads,Re-purchase - Music streaming ads,Re-purchase - Podcast ads
0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
700000,0.028680003,0.026557200,0.061145759,0.036642636,0.028883159,0.054664491,0.029193772,0.020647481,0.050569834,0.012956245,0.016164023,0.025526469,0.019781715,0.019685149,0.040841885,0.043622186,0.020793422,0.034974331,0.023893230,0.016804694,0.035715955,0.010109448,0.009819930,0.020607913,0.022116325,0.021211185,0.043687999,0.033157285,0.024095822,0.044582311,0.023842682,0.016112233,0.040277314,0.009338984,0.011231219,0.021736197,0.011537952,0.010099208,0.026386146,0.022686563,0.011921546,0.017789193,0.011091129,0.008339892,0.017473384,0.004931803,0.005287992,0.010469598
1400000,0.052880211,0.049897761,0.096441108,0.053505597,0.053035266,0.090148208,0.052192647,0.037133020,0.083686473,0.024534307,0.030461996,0.038025793,0.036863219,0.037468196,0.066104437,0.063697140,0.038856577,0.059325842,0.043550747,0.030792371,0.060659486,0.019359058,0.018735126,0.031813847,0.041116674,0.040260004,0.070318833,0.048421103,0.044856930,0.075142130,0.043272639,0.029401736,0.068011013,0.017840438,0.021371004,0.033287567,0.021970325,0.019680874,0.045569376,0.033130228,0.023009732,0.032123246,0.021024688,0.015865762,0.031447066,0.009639836,0.010316272,0.017454079
2100000,0.074160166,0.070100412,0.118793799,0.062194854,0.072387429,0.113483714,0.070117955,0.050124289,0.106112854,0.034823706,0.042908313,0.043604808,0.052101887,0.053285273,0.082694070,0.074041493,0.053879400,0.076048126,0.059404811,0.042194398,0.078226953,0.027761546,0.026691408,0.037200504,0.058012102,0.057100510,0.087636440,0.056277413,0.061980417,0.095918234,0.058794704,0.040138902,0.087330018,0.025526222,0.030370558,0.038747284,0.031565770,0.028654183,0.059434392,0.038505598,0.032978413,0.043120915,0.029686782,0.022485732,0.042315298,0.014104582,0.015031826,0.021446076
2800000,0.093098589,0.087362875,0.134230638,0.067191798,0.087782612,0.129837993,0.084305433,0.060488230,0.122237495,0.043915249,0.053670314,0.046423602,0.065819594,0.067161651,0.094387670,0.079990236,0.066160445,0.088060930,0.072257245,0.051514961,0.091079726,0.035341573,0.033725321,0.040050324,0.073183525,0.071787398,0.099788272,0.060805204,0.075890607,0.110753661,0.071341178,0.048873820,0.101442245,0.032427725,0.038287110,0.041607611,0.040429031,0.036972307,0.069739208,0.041603560,0.041666059,0.051563978,0.037157378,0.028240885,0.050784346,0.018296756,0.019407728,0.023805016
3500000,0.110078696,0.102038787,0.145555056,0.070313815,0.100265194,0.141964462,0.095746920,0.068882175,0.134286108,0.051882042,0.062994459,0.048029023,0.078212708,0.079243314,0.103094953,0.083706923,0.076315387,0.097119291,0.082781930,0.059184145,0.100925439,0.042113392,0.039933096,0.041712688,0.086886310,0.084509293,0.108808151,0.063626425,0.087339498,0.121901827,0.081569335,0.056038862,0.112189252,0.038566379,0.045244222,0.043265361,0.048626561,0.044608037,0.077730185,0.043533869,0.049251311,0.058236899,0.043537675,0.033195683,0.057546355,0.022225128,0.023442442,0.025287731
4200000,0.125341122,0.114507030,0.154210101,0.072365704,0.110605293,0.151282744,0.105243911,0.075875914,0.143730247,0.058874441,0.071081286,0.049046651,0.089476274,0.089731226,0.109852284,0.086149648,0.084856070,0.104193291,0.091628314,0.065649704,0.108694636,0.048160264,0.045398079,0.042784587,0.099285935,0.095497401,0.115766479,0.065481252,0.096935725,0.130572976,0.090142150,0.062067099,0.120626443,0.044026210,0.051347842,0.044329093,0.056211045,0.051575783,0.084127435,0.044802961,0.055874667,0.063652767,0.049072479,0.037502534,0.063084352,0.025863166,0.027129269,0.026283844
4900000,0.139129525,0.125133368,0.161029166,0.073780075,0.119313261,0.158648022,0.113256417,0.081795021,0.151263257,0.065056585,0.078162827,0.049759882,0.099722782,0.098837822,0.115207800,0.087833422,0.092143120,0.109851540,0.099174525,0.071176919,0.114995520,0.053580549,0.050238868,0.043533317,0.110552741,0.104997412,0.121291708,0.066756747,0.105098263,0.137488683,0.097422322,0.067202454,0.127467768,0.048904471,0.056739742,0.045073516,0.063241843,0.057912709,0.089369392,0.045675669,0.061720972,0.068123970,0.053932988,0.041288246,0.067708542,0.029233979,0.030495465,0.026982223
5600000,0.151693687,0.134225806,0.166530194,0.074767228,0.126728941,0.164598959,0.120129495,0.086885817,0.157388179,0.070533805,0.084417758,0.050255560,0.109116785,0.106752857,0.119561281,0.089008605,0.098420441,0.114477105,0.105703351,0.075965623,0.120171816,0.058435751,0.054556030,0.044057825,0.120868984,0.113224721,0.125779882,0.067651072,0.112112858,0.143126528,0.103714830,0.071633911,0.133095554,0.053262532,0.061537499,0.045594210,0.069778744,0.063647398,0.093730503,0.046287575,0.066893391,0.071881107,0.058232678,0.044638202,0.071611812,0.032385698,0.033575752,0.027498824
6300000,0.163148218,0.141978531,0.171047107,0.075480852,0.133115429,0.169502403,0.126069004,0.091324671,0.162480293,0.075389202,0.089981273,0.050622586,0.117737488,0.113585520,0.123181361,0.089858157,0.103880221,0.118322006,0.111396576,0.080172725,0.124484710,0.062783566,0.058433202,0.044456057,0.130314890,0.120303547,0.129480726,0.068294621,0.118198086,0.147807762,0.109218507,0.075527485,0.137745468,0.057155579,0.065837146,0.045986164,0.075866994,0.068765360,0.097408804,0.046727898,0.071508018,0.075084317,0.062064731,0.047634708,0.074945731,0.035284130,0.036407224,0.027876384
7000000,0.173622641,0.148713373,0.174815593,0.076005259,0.138675837,0.173593802,0.131252007,0.095226048,0.166782780,0.079775967,0.094963634,0.050899258,0.125664498,0.119580378,0.126230093,0.090482451,0.108675862,0.121557250,0.116402423,0.083896554,0.128154282,0.066735951,0.061933802,0.044757150,0.138989530,0.126503948,0.132585443,0.068769843,0.123531909,0.151734313,0.114025255,0.078980361,0.141676404,0.060689090,0.069712115,0.046283341,0.081551668,0.073390122,0.100551352,0.047053049,0.075653290,0.077840769,0.065500227,0.050331514,0.077834194,0.037947688,0.039016641,0.028176009
7700000,0.183243983,0.154578875,0.178013871,0.076400338,0.143558629,0.177054112,0.135818630,0.098676203,0.170422238,0.083736208,0.099459306,0.051108572,0.132981722,0.124856174,0.128811993,0.090952783,0.112925598,0.124310454,0.120839410,0.087210118,0.131298920,0.070323661,0.065112100,0.044985171,0.146992409,0.131947720,0.135229034,0.069126384,0.128249389,0.155073392,0.118265640,0.082040310,0.145076422,0.063892049,0.073224001,0.046508310,0.086864752,0.077562183,0.103270373,0.047296999,0.079411082,0.080232932,0.068597999,0.052776742,0.080355549,0.040416283,0.041429676,0.028409197
8400000,0.192162706,0.159732289,0.180759454,0.076701115,0.147859566,0.180009283,0.139876974,0.101765431,0.173560305,0.087282288,0.103519358,0.051267151,0.139771626,0.129539097,0.131045947,0.091310851,0.116698471,0.126680771,0.124806754,0.090188053,0.134017025,0.073539210,0.068007645,0.045159022,0.154437480,0.136767692,0.137508798,0.069398502,0.132431961,0.157943208,0.122062653,0.084775821,0.147999598,0.066761781,0.076418351,0.046679352,0.091814691,0.081357160,0.105633362,0.047483185,0.082811675,0.082326559,0.071413225,0.055000247,0.082582202,0.042670643,0.043664343,0.028598577
9100000,0.200361259,0.164283258,0.183136092,0.076935887,0.151680669,0.182554806,0.143502704,0.104541777,0.176281397,0.090513301,0.107212420,0.051398670,0.146072777,0.133712446,0.132971056,0.091590342,0.120075153,0.128733635,0.128373169,0.092877689,0.136374636,0.076475858,0.070652407,0.045305729,0.161309246,0.141053779,0.139479219,0.069610202,0.136165784,0.160422238,0.125483706,0.087253613,0.150560461,0.069381070,0.079331813,0.046823521,0.096455488,0.084816391,0.107718460,0.047628032,0.085902473,0.084177876,0.073981238,0.057035641,0.084540013,0.044744242,0.045741426,0.028753466
9800000,0.207959450,0.168329635,0.185216335,0.077124752,0.155100377,0.184767751,0.146768800,0.107051371,0.178637557,0.093501877,0.110575088,0.051502458,0.151939891,0.137444451,0.134656778,0.091815181,0.123114688,0.130529376,0.131605816,0.095320411,0.138449742,0.079198626,0.073081179,0.045424179,0.167696779,0.144882608,0.141212042,0.069780799,0.139524088,0.162587579,0.128571496,0.089503473,0.152766805,0.071808149,0.082003610,0.046938924,0.100828439,0.087970988,0.109551971,0.047744756,0.088734802,0.085821974,0.076342093,0.058904594,0.086281604,0.046691089,0.047676277,0.028883614
