ADVERTISER,BRAND,MEDIA_GROUP,MEDIA,MEDIA_OWNER,DOW,NATIONAL/LOCAL,MARKET,PROGRAM,PROGRAM_GENRE,DAYPART,PROPERTY,JAN_2025__$,JAN_2025__UNITS,FEB_2025__$,FEB_2025__UNITS,MAR_2025__$,MAR_2025__UNITS,APR_2025__$,APR_2025__UNITS,MAY_2025__$,MAY_2025__UNITS,JUNE_2025__$,JUNE_2025__UNITS,JUL_2025__$,JUL_2025__UNITS,AUG_2025__$,AUG_2025__UNITS,SEPT_2025__$,SEPT_2025__UNITS,OCT_2025__$,OCT_2025__UNITS,TOTAL_$,TOTAL_UNITS
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,,,"1,083",1,"1,083",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Early Morning,LIFE,,,,,,,,,,,,,221,1,,,,,,,221,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,,,"2,038",3,,,,,"2,038",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,DR. PIMPLE POPPER: BREAK,ENTERTAINMENT,Prime Time,LIFE,,,,,,,"1,054",1,,,,,,,,,,,,,"1,054",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,DR. PIMPLE POPPER: BREAK,ENTERTAINMENT,Late Fringe,LIFE,,,,,,,527,1,,,,,,,,,,,,,527,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: GREATEST SHIFTS,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,,,,,,,,,,,237,1,237,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: GREATEST SHIFTS,ENTERTAINMENT,Prime Access,A&E,,,,,,,,,,,,,,,,,,,"1,720",2,"1,720",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,"5,718",3,"1,743",1,,,"2,519",2,"1,730",2,,,"1,010",1,"1,209",3,947,3,237,1,"15,113",16
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,"2,288",2,,,,,"2,519",2,"3,458",2,,,"2,020",2,403,1,237,1,,,"10,925",10
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,"3,500",2,"4,412",2,,,"1,319",1,"2,490",1,,,"1,722",1,"4,896",3,,,,,"18,339",10
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Time,A&E,,,,,,,,,,,,,,,"7,344",6,,,,,"7,344",6
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Late Fringe,A&E,,,,,,,,,,,,,,,898,1,,,,,898,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Overnight,A&E,,,,,,,,,,,,,,,"3,678",5,,,,,"3,678",5
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,815,1,"1,084",2,"1,625",2,"3,524",5
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,RIZZOLI & ISLES,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,,,,,542,1,542,1,"1,084",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,ROAD WARS,ENTERTAINMENT,Early Morning,A&E,,,,,,,,,,,,,,,,,768,3,,,768,3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,* TOTAL US,STORAGE WARS TEXAS,ENTERTAINMENT,Early Morning,A&E,,,,,,,,,,,,,"1,464",4,"1,782",6,"1,728",7,"1,152",4,"6,126",21
