ADVERTISER,BRAND_ROOT,Brand (Major),Brand (Minor),Brand (Leaf),PUBLISHER,DATE,CHANNEL,Top-Level Category,PLACEMENT,Spend (USD),IMPRESSIONS
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,196981.78,27258867
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Reels,39390.78,5451002
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Stories,4715.90,652599
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,87517.15,12110844
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Reels,36870.20,5102200
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Stories,872.51,120740
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-01-01,Facebook,<uncategorized>,Reels,1437.17,198879
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-01-01,Facebook,<uncategorized>,Feed,3740.86,517668
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Stories,293.75,40650
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,5287.29,731670
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Marketplace,4129.35,571430
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-01-01,Facebook,Food & Dining Services,Reels,1524.48,210961
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-01-01,Facebook,Food & Dining Services,Marketplace,606.56,83938
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-01-01,Facebook,Food & Dining Services,Stories,5916.16,818695
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-01-01,Facebook,Food & Dining Services,Other,1159.17,160409
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-01-01,Facebook,Food & Dining Services,Feed,85893.72,11886180
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,578.36,80035
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,587.86,81349
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Marketplace,302.70,41888
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Feed,50212.07,6948464
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Reels,1204.66,166704
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-01-01,Facebook,Consumer Packaged Goods,Stories,610.76,84519
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,Reels,9908.16,1230311
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,336.45,35588
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,224224.98,13581487
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,Feed,3807.58,3175170
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,5926.15,331137
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,610.49,34112
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-01-01,YouTube,Food & Dining Services,Feed,45.54,37975
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-01-01,YouTube,Food & Dining Services,In-Stream,8517.47,574905
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-01-01,YouTube,Food & Dining Services,Reels,26.46,3285
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,83.31,46550
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,513.40,32749
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,YouTube,2025-01-01,YouTube,Consumer Packaged Goods,Feed,84.44,70420
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),YouTube,2025-01-01,YouTube,Consumer Packaged Goods,In-Stream,2684.56,266128
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,yahoo.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,3855.08,1417011
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,cnet.com (CBS Interactive),2025-01-01,Desktop Display,Consumer Packaged Goods,Other,1045.10,287919
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,walmart.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,15019.29,2043414
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,fandom.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,295.11,51393
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),fandom.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,32.49,7910
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Hulu,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,16306.98,589812
